Timestamp,Age:,Gender:,satisfied ,concerns,friendliness,waiting area,instructions,overall
18-30,Male,Asian,3,4,4,2,3,3
61+,Female,White/Caucasian,4,5,5,4,4,5
31-45,Female,Asian,4,5,2,1,4,4
46-60,Male,Black/African American,5,5,5,3,4,4
61+,Male,Asian,3,3,4,2,3,3
46-60,Female,Hispanic/Latino,5,5,5,4,5,5
31-45,Male,Hispanic/Latino,5,4,4,4,4,5
31-45,Female,White/Caucasian,3,4,4,2,3,4
18-30,Male,White/Caucasian,5,5,4,2,4,4
31-45,Female,Hispanic/Latino,2,3,2,2,3,2
31-45,Male,Black/African American,2,2,3,3,4,3
18-30,Female,Asian,4,4,4,3,3,3
61+,Female,Black/African American,5,5,4,2,3,4
31-45,Non-Binary/Third Gender,Hispanic/Latino,4,4,4,5,3,4
18-30,Female,White/Caucasian,5,4,3,2,5,4
18-30,Female,Hispanic/Latino,2,3,3,2,3,2
18-30,Female,Hispanic/Latino,5,5,5,5,5,5
61+,Male,White/Caucasian,4,5,5,4,5,5
46-60,Female,Asian,3,4,3,2,3,3
61+,Female,Asian,4,4,4,3,4,4
31-45,Male,Hispanic/Latino,4,4,3,3,3,4
31-45,Male,White/Caucasian,4,3,3,3,4,3
18-30,Female,Black/African American,1,1,1,1,2,1
18-30,Male,Hispanic/Latino,5,5,4,3,5,5
18-30,Female,Asian,4,3,4,4,4,4
18-30,Female,Black/African American,5,5,4,4,4,4
46-60,Female,Black/African American,4,4,3,4,5,4
18-30,Female,Asian,5,5,4,3,5,5
46-60,Male,Hispanic/Latino,4,4,3,3,4,4
31-45,Female,Native American,4,4,3,3,4,3
46-60,Female,Native American,5,4,3,2,3,4
61+,Male,White/Caucasian,4,4,4,4,5,5
18-30,Female,Asian,3,4,5,2,4,4
31-45,Male,Black/African American,4,4,3,2,4,3
18-30,Male,Hispanic/Latino,5,4,5,2,4,4
46-60,Male,Hispanic/Latino,4,5,5,3,4,4
18-30,Male,Hispanic/Latino,4,4,3,4,5,4
31-45,Male,Asian,3,4,4,2,4,4
18-30,Female,Black/African American,4,5,3,2,3,4
46-60,Male,Hispanic/Latino,4,4,5,4,4,4
18-30,Male,Hispanic/Latino,4,5,3,2,4,4
18-30,Prefer not to say,Black/African American,4,3,3,3,4,4
46-60,Male,Black/African American,3,4,4,3,4,3
31-45,Female,White/Caucasian,3,2,3,1,3,2
46-60,Male,Hispanic/Latino,3,4,4,4,4,5
18-30,Male,White/Caucasian,4,3,2,2,3,3
46-60,Male,Black/African American,1,2,2,1,2,1
31-45,Prefer not to say,Hispanic/Latino,1,2,2,2,2,1
61+,Male,Hispanic/Latino,2,1,3,2,2,2
31-45,Female,White/Caucasian,4,3,3,1,4,3
61+,Male,Hispanic/Latino,4,4,3,2,3,4
61+,Male,White/Caucasian,4,3,2,2,3,3